name,type,website,city,state_id,address,latitude,longitude,firstname,lastname,role,email,phone_number,facebook,x,instagram,mondayOpen,mondayClose,tuesdayOpen,tuesdayClose,wednesdayOpen,wednesdayClose,thursdayOpen,thursdayClose,fridayOpen,fridayClose,saturdayOpen,saturdayClose,sundayOpen,sundayClose,zip,merchandise,social_media
Avondale Brewing Co,Micro,www.avondalebrewing.com,Birmingham,AL,201 41st St S,40.33549,-82.9558,Hunter,Lake,BREWERY_OWNER,brew@avondalebrewing.com,(205) 203-4546,https://web.facebook.com/AvondaleBrewingCompany/,https://twitter.com/AvondaleBrewing,https://www.instagram.com/avondalebrewing/,12:00,22:00,12:00,22:00,12:00,22:00,12:00,23:00,12:00,24:00,12:00,24:00,12:00,22:00,35222,true,true
Back Forty Beer Co,Micro,www.backfortybeer.com,Gadsden,AL,200 N 6th St,39.2055,-84.394,Jason,Wilson,BREWERY_OWNER,web@backfortybeer.com,(256) 467-4912,https://web.facebook.com/back40bham/,https://twitter.com/back40beer,https://www.instagram.com/back40bham/,Closed,Closed,Closed,Closed,17:00,21:00,17:00,21:00,11:00,21:00,11:00,21:00,11:00,21:00,35901,true,true
Back Forty Beer Company - Birmingham,Micro,www.backfortybeer.com,Birmingham,AL,3201 1st Avenue N,39.19259,-84.4005,Jason,Wilson,BREWERY_OWNER,info@backfortybham.com,(256) 407-8025,https://web.facebook.com/back40bham/,https://twitter.com/back40beer,https://www.instagram.com/back40bham/,11:00,21:00,Closed,Closed,11:00,21:00,11:00,22:00,11:00,23:00,11:00,23:00,11:00,20:00,35222,true,true
Big Beach Brewing Company,Taproom,https://www.bigbeachbrewing.com/,Gulf Shores,AL,300 E 24th Ave,40.28595,-80.7544,Jim,Shamburger,BREWERY_OWNER,info@bigbeachbrewing.com,(251) 948-2337,https://web.facebook.com/bigbeachbrewing/,http://www.twitter.com/bigbeachbrewing,https://instagram.com/bigbeachbrewing/,12:00,22:00,12:00,22:00,12:00,22:00,12:00,22:00,12:00,23:00,12:00,23:00,12:00,22:00,36542,true,true
Birmingham District Brewing Company,Taproom,https://www.birminghamdistrictbrewing.com/,Birmingham,AL,2201 2nd Ave S,41.12802,-81.4853,Matt,Gray,BREWERY_OWNER,info@birminghamdistrictbrewing.com,(205) 202-5779,https://web.facebook.com/districtbrews,https://twitter.com/districtbrews,https://www.instagram.com/districtbrews/,12:00,22:00,12:00,22:00,12:00,22:00,12:00,22:00,12:00,24:00,11:00,24:00,12:00,20:00,35233,false,true
Black Warrior Brewing Co.,Taproom,http://www.blackwarriorbrewing.com/,Tuscaloosa,AL,2216 University Blvd,39.53937,-82.41,Joe,Fuller,BREWERY_OWNER,joe@blackwarriorbrewing.com,(205) 248-7841,https://web.facebook.com/BlackWarriorBrewing/,https://twitter.com/blackwarriorbc,https://www.instagram.com/blackwarriorbrewing/,15:00,23:00,15:00,23:00,15:00,23:00,15:00,23:00,13:00,24:00,12:00,24:00,14:00,21:30,35401,false,true
Bowler Hat Brewing Company,Taproom,https://bowlerhatbrewing.com/,Madison,AL,7429 Hwy 72 W,41.50303,-81.6812,Matt,Murphy,BREWERY_OWNER,matt.murphy@bowlerhatbrewing.com,(256) 325 - 3928,https://web.facebook.com/BowlerHatBrewingCompany,,https://www.instagram.com/bowlerhatbrewingco,16:00,21:00,16:00,22:00,16:00,21:00,16:00,22:00,15:00,23:00,11:00,23:00,13:00,18:00,35758,true,true
Braided River Brewing Company,Micro,https://www.braidedriverbrewing.com/,Mobile,AL,420 Saint Louis St,39.9742,-83.0256,David,Nelson,BREWERY_OWNER,david@braidedriverbrewing.com,(251) 301-6879,https://web.facebook.com/braidedriverbrewing,,https://www.instagram.com/braidedriverbrewing/,15:00,21:00,15:00,21:00,15:00,21:00,15:00,21:00,14:00,22:00,12:00,22:00,12:00,19:00,36602,false,true
Brock's Gap Brewing,Taproom,https://brocksgapbrewing.com/,Hoover,AL,500 Mineral Trace,40.3929,-81.3336,Jamie/Michael,Cato/Blumenthal,BREWERY_OWNER,info@brocksgapbrewing.com,,https://web.facebook.com/brocksgapbrewingcompany,,https://www.instagram.com/brocksgapbrewingco/,15:00,23:00,15:00,23:00,15:00,23:00,15:00,23:00,11:00,23:00,11:00,23:00,12:00,22:00,35244,true,true
"Brock's Gap Brewing Company, LLC",Taproom,https://brocksgapbrewing.com/,Hoover,AL,500 Mineral Trace,39.96624,-82.9957,Jamie/Michael,Cato/Blumenthal,BREWERY_OWNER,info@brocksgapbrewing.com,(205) 848-7837,https://web.facebook.com/brocksgapbrewingcompany,,https://www.instagram.com/brocksgapbrewingco/,15:00,23:00,15:00,23:00,15:00,23:00,15:00,23:00,11:00,23:00,11:00,23:00,12:00,22:00,35244,true,true
Cahaba Brewing Company,Micro,https://cahababrewing.com/,Birmingham,AL,4500 5th Ave South Building C,40.0469,-82.4743,Eric,Meyer,BREWERY_OWNER,kayla@cahababrewing.com,(205) 578 2616,https://web.facebook.com/cahababrewingco,https://twitter.com/CahabaBrewing,https://www.instagram.com/cahababrewing,15:00,22:00,11:00,22:00,11:00,22:00,11:00,22:00,11:00,22:00,11:00,20:00,11:00,20:00,35222,true,true
Chandler's Ford Brewing LLC,Brewpub,https://www.gobeezr.com/,Huntsville,AL,109 falserth Side Square,40.51785,-81.4801,Ron/Rene,Jewell/Kurzius,BREWERY_OWNER,Doug@chandlersfordbrewing.com,(256) 655-0806,https://web.facebook.com/Chandlersfordbrewing,,https://www.instagram.com/chandlers_ford_brewing/,Closed,Closed,11:00,21:00,11:00,21:00,11:00,21:00,11:00,22:00,11:00,22:00,10:00,15:00,35801,false,true
